MOD15A2H.A2000049.h30v12.006.2020041210828.Lai_500m,MOD15A2H,A2000049,Lat-33.6152Lon150.7236Samp17Line17,2020041210828,F,F,F,F,F,F,F,F,F,F,F,F,F,0.2,0.2,0.2,0.3,F,F,F,F,F,F,F,F,F,F,F,F,0.2,0.2,F,F,F,F,F,F,F,F,F,F,F,0.1,0.1,0.3,0.2,0.2,F,F,F,0.7,F,F,F,F,F,F,F,0.1,0.3,0.4,0.3,0.5,F,0.3,0.7,0.3,0.3,F,F,F,F,F,F,F,F,F,F,0.3,F,0.2,0.5,0.5,0.5,F,F,F,F,F,F,F,0.1,F,F,F,0.3,0.3,0.3,0.5,F,F,F,F,F,F,F,F,F,F,F,0.3,0.3,0.3,0.6,0.8,0.8,0.5,F,F,F,F,F,F,F,F,F,F,0.3,0.8,1.0,0.8,F,F,F,F,F,F,F,F,F,F,0.3,0.4,0.8,0.8,0.8,F,F,F,F,F,F,F,F,F,F,F,0.3,0.3,0.7,0.7,0.8,F,F,0.8,0.8,0.6,F,F,F,F,F,F,0.3,0.7,0.7,0.6,F,F,F,0.9,0.8,F,F,0.6,1.0,1.1,F,0.3,F,0.5,0.5,0.5,F,F,1.0,0.9,1.0,0.6,0.6,F,F,1.1,F,0.3,0.5,F,F,F,0.5,0.5,0.5,0.6,0.6,0.6,0.6,F,F,F,F,F,0.3,0.3,F,F,0.5,0.5,0.5,F,F,F,F,F,F,F,F,F,F,F,F,F,0.5,0.5,0.5,0.7,F,F,F,F,F,0.2,F,F,0.6,0.6,F,0.9,0.9,0.5,0.8,0.8,0.7,F,F,F,0.2,0.2,0.5,0.5,0.5,F,F,F,1.0,1.5,1.4,1.4,F,F,F,F,F,F,F,F,F,F,F,F
MOD15A2H.A2023217.h30v12.006.2023226040843.Lai_500m,MOD15A2H,A2023217,Lat-33.6152Lon150.7236Samp17Line17,2023226040843,4.9,4.9,4.9,1.5,1.6,1.5,0.7,1.0,1.2,1.2,1.3,1.2,1.3,1.2,0.8,0.6,0.3,6.0,5.4,1.6,1.1,1.5,1.3,1.4,1.2,1.2,1.2,1.0,1.0,0.7,0.6,0.3,0.6,F,5.4,4.8,1.5,1.2,1.3,1.3,1.3,1.2,1.1,1.3,1.2,1.0,0.6,0.6,0.7,F,0.9,4.8,1.5,1.4,1.3,1.2,1.2,1.2,1.1,1.2,1.2,0.8,0.9,0.9,0.7,0.9,0.6,0.6,1.5,1.4,1.2,1.0,0.9,1.1,1.0,1.2,1.2,0.6,0.6,0.8,0.7,0.7,0.8,0.6,F,1.2,1.2,0.9,0.8,1.1,1.0,0.6,0.6,0.6,1.1,0.6,0.6,0.6,0.7,F,F,F,1.2,0.8,1.0,1.1,1.0,0.6,1.0,0.8,0.7,0.5,0.6,0.5,0.7,0.5,0.5,F,F,0.6,0.7,1.2,0.6,0.7,0.7,F,F,0.5,0.9,1.0,0.5,0.5,0.6,F,F,0.5,1.0,1.0,0.7,1.0,F,0.6,0.8,0.9,0.9,1.0,0.7,0.5,0.5,0.6,0.7,0.7,0.9,1.0,0.8,0.6,F,0.6,0.6,0.9,0.9,1.0,1.1,0.7,0.5,0.5,0.6,0.7,0.7,0.6,0.8,F,F,0.6,0.7,0.9,0.7,0.9,0.9,0.7,0.6,0.6,0.7,1.2,0.9,0.7,0.8,F,0.6,F,0.8,0.6,0.6,0.6,0.7,0.8,0.6,0.7,0.8,0.8,0.8,F,0.8,F,0.6,0.9,F,F,F,0.6,0.6,0.6,0.7,0.6,0.8,0.8,0.5,0.6,F,F,F,0.5,0.4,0.4,0.6,0.6,0.6,0.7,0.7,0.8,0.7,0.8,0.6,F,F,F,F,F,0.6,0.6,0.6,0.5,0.9,0.9,0.6,0.6,0.9,0.7,0.8,F,0.6,F,F,0.7,0.6,F,0.5,0.5,0.9,0.9,0.8,0.6,0.6,0.9,0.8,0.8,0.9,0.8,0.7,0.7,0.7,0.8,F,0.8,0.9,0.6,0.6,0.6,0.6,0.9,0.7,0.7,0.8,2.7,2.8,2.7,0.8,0.8,0.7
MOD15A2H.A2023225.h30v12.006.2023235045332.Lai_500m,MOD15A2H,A2023225,Lat-33.6152Lon150.7236Samp17Line17,2023235045332,4.9,4.9,4.9,1.7,1.7,1.4,0.8,1.0,1.2,1.3,1.2,1.2,1.2,1.1,0.8,0.7,0.5,6.0,4.9,1.6,1.3,1.4,1.5,1.4,1.2,1.3,1.2,1.1,1.0,1.0,0.6,0.5,0.3,F,4.9,4.8,1.5,1.3,1.4,1.4,1.2,1.2,1.1,1.1,1.0,0.8,0.5,0.6,1.0,F,0.9,4.8,1.3,1.3,1.3,1.2,1.2,1.1,1.1,1.0,1.1,0.8,1.0,1.0,0.7,0.9,0.6,0.7,1.5,1.3,1.2,0.9,0.9,1.1,1.1,1.0,1.1,0.6,0.6,0.7,0.7,0.8,0.8,0.7,F,1.1,1.2,0.7,0.8,1.1,1.0,0.6,0.6,0.6,0.9,0.6,0.6,0.6,0.8,F,F,F,1.1,0.7,1.0,1.4,1.1,0.6,1.1,1.0,0.7,0.6,0.6,0.6,0.7,0.6,0.6,F,F,0.7,0.6,1.4,0.7,0.8,0.7,F,F,0.6,1.0,1.0,0.6,0.6,0.6,F,F,0.6,1.2,1.0,1.0,0.8,F,0.7,0.9,0.9,0.9,0.8,0.6,0.6,0.6,0.6,0.7,0.8,1.2,0.8,0.8,0.7,F,0.7,0.6,0.8,0.8,0.9,1.0,0.7,0.6,0.6,0.7,0.9,1.3,0.7,0.9,F,F,0.6,0.7,0.8,0.7,0.8,0.8,0.9,0.6,0.6,0.7,1.3,1.0,0.9,0.9,F,0.6,F,0.7,0.6,0.6,0.6,0.7,0.8,0.7,0.6,0.8,1.2,1.4,F,0.9,F,0.6,0.7,F,F,F,0.7,0.7,0.7,0.8,0.7,0.8,0.8,0.6,0.7,F,F,F,0.6,0.6,0.5,0.5,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.6,F,F,F,F,F,0.6,0.6,0.5,0.6,0.8,0.9,0.7,0.6,0.8,0.7,0.8,F,0.8,F,F,0.6,0.6,F,0.6,0.6,0.8,0.8,0.9,0.8,0.8,0.8,0.8,0.8,0.8,0.9,0.9,0.9,0.9,0.7,F,0.9,0.8,0.7,0.7,0.7,0.8,0.8,0.6,0.6,0.8,2.7,2.7,2.7,0.9,0.9,0.7
MOD15A2H.A2023233.h30v12.006.2023242040130.Lai_500m,MOD15A2H,A2023233,Lat-33.6152Lon150.7236Samp17Line17,2023242040130,4.7,4.9,4.9,1.6,1.6,1.5,0.8,1.0,1.3,1.4,1.3,1.2,1.5,1.2,0.9,0.6,0.4,4.9,4.9,1.5,1.3,1.5,1.4,1.4,1.3,1.3,1.2,1.2,1.1,0.9,0.7,0.3,0.6,F,5.0,4.8,1.5,1.4,1.4,1.3,1.2,1.2,1.1,1.2,1.1,0.9,0.6,0.7,1.0,F,1.2,3.9,1.4,1.4,1.2,1.2,1.2,1.2,1.1,1.2,1.3,1.0,1.1,1.0,0.8,1.0,0.7,0.8,1.4,1.3,1.2,1.0,1.0,1.1,1.2,1.2,1.2,0.7,0.6,1.0,0.8,0.8,0.9,0.7,F,1.3,1.2,1.0,1.0,1.1,1.1,0.7,0.7,0.7,1.0,0.6,0.6,0.7,0.9,F,F,F,1.2,1.0,1.1,1.4,1.3,0.7,1.2,1.3,0.7,0.6,0.6,0.6,0.9,0.7,0.7,F,F,0.8,0.8,1.2,0.7,1.0,0.8,F,F,0.6,1.1,1.1,0.6,0.7,0.6,F,F,0.7,1.2,1.0,1.2,1.0,F,1.0,1.0,1.0,1.0,1.0,0.7,0.7,0.7,0.8,0.8,1.0,1.4,0.7,1.0,0.7,F,1.0,0.7,1.0,1.0,1.0,1.1,0.7,0.7,0.7,0.7,1.0,1.3,0.7,1.1,F,F,0.6,0.7,0.9,0.8,1.0,1.0,1.0,0.7,0.6,0.9,1.4,1.0,1.2,0.9,F,0.4,F,0.8,0.7,0.7,0.7,0.6,0.8,0.6,0.7,1.0,1.0,0.8,F,0.9,F,0.6,0.8,F,F,F,0.7,0.7,0.7,0.8,0.6,0.8,0.8,0.5,0.8,F,F,F,0.6,0.4,0.6,0.6,0.7,0.7,0.8,0.8,1.0,0.9,1.0,0.7,F,F,F,F,F,0.8,0.7,0.7,0.7,0.9,1.0,0.8,0.7,0.9,0.8,1.0,F,0.9,F,F,0.7,0.7,F,0.7,0.6,1.0,0.9,0.9,0.8,0.8,0.9,0.9,1.0,0.9,1.0,1.0,0.7,0.7,0.9,F,1.0,1.1,0.8,0.7,0.7,0.8,0.9,0.6,0.6,1.0,2.5,2.5,2.1,1.0,1.0,0.9
MOD15A2H.A2023241.h30v12.006.2023251232105.Lai_500m,MOD15A2H,A2023241,Lat-33.6152Lon150.7236Samp17Line17,2023251232105,4.8,4.8,4.8,1.5,1.6,1.5,0.8,1.1,1.3,1.3,1.2,1.2,1.3,1.1,0.7,0.6,0.5,4.8,4.7,1.6,1.3,1.4,1.3,1.3,1.3,1.2,1.2,1.1,1.1,0.8,0.7,0.3,0.5,F,4.4,4.4,1.5,1.4,1.4,1.3,1.2,1.2,1.2,1.1,1.1,1.0,0.6,0.7,1.5,F,1.5,4.7,1.4,1.3,1.3,1.1,1.1,1.2,1.1,1.2,1.2,0.9,1.0,1.2,0.8,1.3,0.6,0.8,1.3,1.3,1.3,1.0,1.0,1.1,1.2,1.2,1.2,0.8,0.6,1.3,0.7,0.8,0.8,0.8,F,1.3,1.2,1.0,1.0,1.2,1.0,0.8,0.8,0.9,1.7,0.6,0.7,0.7,0.8,F,F,F,1.2,0.9,1.1,1.3,1.2,0.6,1.3,1.2,0.8,0.9,0.6,0.7,0.9,0.7,0.7,F,F,0.8,0.7,1.1,0.7,0.9,0.7,F,F,0.6,1.1,1.1,0.7,0.7,0.6,F,F,0.8,1.1,1.1,1.5,0.9,F,1.0,1.0,0.9,1.0,1.0,0.8,0.7,0.8,0.7,0.7,1.1,1.3,0.9,1.3,1.0,F,1.3,0.7,1.0,1.0,1.0,1.2,0.7,0.7,0.7,0.7,1.5,2.1,0.7,1.1,F,F,0.6,0.8,0.9,0.8,1.0,0.9,1.0,0.6,0.6,1.0,2.0,1.4,0.8,0.9,F,0.6,F,0.8,0.6,0.6,0.7,0.7,1.0,0.6,0.8,1.4,1.3,1.2,F,0.8,F,0.6,0.8,F,F,F,0.6,0.7,0.7,1.0,0.7,0.9,0.9,0.6,0.8,F,F,F,0.6,0.6,0.5,0.7,0.7,0.7,0.8,0.8,0.9,0.9,1.0,0.7,F,F,F,F,F,0.6,0.7,0.6,0.6,0.9,1.1,0.8,0.7,1.0,0.8,1.0,F,0.7,F,F,0.7,0.7,F,0.6,0.8,0.9,1.1,1.0,0.7,0.8,0.9,1.0,1.0,0.8,0.8,0.7,0.7,0.7,0.7,F,1.0,1.0,0.8,0.7,0.8,0.7,0.9,0.6,0.6,0.8,2.5,2.5,2.5,0.8,0.8,0.9
MOD15A2H.A2023249.h30v12.006.2023258041622.Lai_500m,MOD15A2H,A2023249,Lat-33.6152Lon150.7236Samp17Line17,2023258041622,4.8,4.8,4.8,1.6,1.6,1.4,0.8,1.1,1.2,1.2,1.2,1.2,1.2,1.0,0.9,0.6,0.5,4.8,4.8,1.5,1.2,1.4,1.4,1.3,1.2,1.2,1.2,1.0,1.0,1.0,0.6,0.4,0.3,F,4.7,4.7,1.5,1.3,1.3,1.3,1.2,1.1,1.1,1.0,0.9,0.9,0.6,0.6,0.9,F,1.2,4.7,1.3,1.3,1.2,1.1,1.1,1.1,1.1,1.2,1.2,1.0,1.1,1.0,0.9,1.0,0.6,0.8,1.4,1.2,1.2,1.0,1.0,1.1,1.1,1.2,1.2,0.7,0.7,0.9,0.7,0.9,1.0,0.6,F,1.3,1.2,1.0,1.0,1.1,1.0,0.8,0.8,0.7,1.4,0.6,0.7,0.7,1.0,F,F,F,1.2,1.0,1.1,1.2,1.6,0.8,1.7,1.1,0.7,0.6,0.7,0.7,0.7,0.7,0.7,F,F,0.8,0.7,1.2,0.8,1.1,0.7,F,F,0.6,1.2,0.8,0.7,0.7,0.6,F,F,0.6,1.2,1.2,1.2,1.0,F,1.1,1.0,0.9,0.9,0.9,0.8,0.7,0.8,0.7,0.7,1.0,1.1,0.9,1.1,0.9,F,0.7,0.7,1.0,1.0,0.9,1.0,0.7,0.6,0.6,0.6,1.0,1.1,0.7,1.0,F,F,0.6,0.8,0.9,0.7,1.0,0.9,0.9,0.6,0.6,0.7,1.5,0.8,1.0,0.9,F,0.6,F,0.8,0.7,0.7,0.7,0.6,0.8,0.6,0.7,0.8,0.8,0.9,F,0.9,F,0.5,0.8,F,F,F,0.7,0.6,0.7,0.9,0.8,0.9,0.8,0.7,0.7,F,F,F,0.5,0.6,0.5,0.7,0.7,0.7,0.7,0.7,0.9,0.9,1.2,0.5,F,F,F,F,F,0.9,0.7,0.7,0.6,1.1,1.0,0.8,0.7,0.9,0.7,0.9,F,0.8,F,F,0.7,0.5,F,0.6,0.6,1.0,1.0,1.0,0.8,0.7,0.9,0.9,0.8,0.8,0.8,0.8,0.8,0.8,0.7,F,0.9,1.0,0.7,0.7,0.7,0.7,0.9,0.8,0.6,0.8,2.4,2.4,2.4,0.9,0.9,0.9
MOD15A2H.A2023257.h30v12.006.2023266042252.Lai_500m,MOD15A2H,A2023257,Lat-33.6152Lon150.7236Samp17Line17,2023266042252,5.0,5.5,5.5,1.6,2.0,1.6,1.0,1.3,1.6,1.6,1.6,1.6,1.5,1.4,0.6,0.6,0.6,5.3,5.4,1.9,1.4,1.6,1.7,1.6,1.6,1.6,1.4,1.3,1.5,1.4,0.6,0.5,0.5,F,5.3,5.2,1.7,1.6,1.6,1.7,1.4,1.4,1.4,1.3,1.3,1.3,0.8,0.7,1.4,F,1.4,5.0,1.6,1.6,1.6,1.5,1.3,1.4,1.3,1.6,1.6,1.1,1.5,1.4,1.4,1.3,0.6,1.0,1.6,1.6,1.5,1.1,1.1,1.4,1.4,1.4,1.6,0.8,0.8,1.1,1.0,1.3,1.2,1.0,F,1.6,1.5,1.1,1.1,1.5,1.2,0.6,1.0,0.8,1.6,0.8,0.8,0.8,1.0,F,F,F,1.4,1.1,1.1,1.6,1.6,1.0,1.4,1.4,1.0,0.8,0.7,0.8,0.6,0.6,0.6,F,F,0.9,0.9,1.5,0.9,1.2,0.7,F,F,0.7,1.1,1.3,0.6,0.5,0.6,F,F,0.8,1.3,1.4,1.2,1.7,F,1.0,1.2,1.2,1.2,1.3,1.0,0.7,0.8,0.7,0.8,1.0,1.3,1.4,1.2,0.8,F,0.8,0.8,1.1,1.3,1.3,1.3,0.7,0.7,0.7,0.7,1.0,1.0,0.8,1.6,F,F,0.8,1.0,1.1,0.9,1.2,1.3,1.1,0.7,0.7,1.0,1.1,0.7,1.0,1.1,F,0.6,F,0.6,0.6,0.8,0.8,0.8,1.0,0.7,0.9,1.0,1.1,1.0,F,1.0,F,0.6,1.0,F,F,F,0.8,0.9,0.8,1.0,0.8,1.1,1.0,0.7,0.9,F,F,F,0.7,0.4,0.7,0.7,0.8,0.9,0.9,0.9,1.1,1.0,1.1,0.8,F,F,F,F,F,1.0,0.8,0.8,0.8,1.1,1.2,1.0,0.6,1.1,0.9,1.1,F,1.0,F,F,0.9,0.8,F,0.7,0.7,1.2,1.2,1.1,1.0,0.9,1.2,1.1,1.1,1.0,1.0,1.0,1.0,1.0,0.9,F,1.4,1.3,0.8,0.8,0.8,0.9,1.1,0.8,0.8,1.0,2.3,2.8,2.4,1.0,1.0,1.1
MOD15A2H.A2023265.h30v12.006.2023274041754.Lai_500m,MOD15A2H,A2023265,Lat-33.6152Lon150.7236Samp17Line17,2023274041754,4.8,5.1,5.4,1.6,1.9,1.7,0.9,1.2,1.4,1.5,1.5,1.4,1.5,1.2,0.9,0.7,0.5,5.2,5.2,1.6,1.4,1.6,1.6,1.5,1.4,1.5,1.4,1.2,1.2,1.0,0.7,0.5,0.5,F,5.2,4.8,1.5,1.6,1.5,1.5,1.3,1.2,1.2,1.2,1.3,1.5,0.8,0.6,1.1,F,1.4,4.6,1.4,1.4,1.5,1.4,1.4,1.3,1.4,1.4,1.6,1.1,1.4,1.3,1.2,1.3,1.0,1.0,1.4,1.4,1.3,1.0,1.0,1.4,1.3,1.4,1.6,0.9,0.8,1.2,1.1,1.1,1.3,1.0,F,1.4,1.4,1.0,1.0,1.4,1.3,0.8,0.9,0.8,1.3,0.7,0.9,0.8,1.0,F,F,F,1.2,1.0,1.2,1.6,1.4,0.8,1.6,1.4,0.8,0.7,0.7,0.8,1.0,0.9,0.8,F,F,0.9,0.8,1.4,1.0,1.1,1.0,F,F,0.7,1.2,1.2,0.8,0.8,0.7,F,F,0.7,1.2,1.2,1.2,1.4,F,1.2,1.1,1.0,1.0,1.1,0.9,0.8,0.8,0.7,0.7,1.4,1.4,1.2,1.4,0.9,F,1.0,0.8,1.1,1.1,1.1,1.3,1.0,0.7,0.7,0.7,0.9,1.0,0.8,1.4,F,F,0.8,1.0,1.1,0.8,1.2,1.1,0.9,0.7,0.7,0.7,1.1,0.7,0.8,1.0,F,0.7,F,0.8,0.8,0.7,0.8,0.8,0.9,0.7,0.9,1.0,1.1,1.1,F,1.0,F,0.7,0.9,F,F,F,0.7,0.7,0.8,1.0,0.8,1.0,1.0,0.6,0.7,F,F,F,0.4,0.5,0.5,0.7,0.7,0.7,0.8,0.7,0.9,1.0,1.0,0.7,F,F,F,F,F,1.0,1.0,0.5,0.7,1.0,1.0,0.8,0.8,1.0,0.8,1.0,F,0.9,F,F,0.8,0.7,F,0.7,0.7,1.0,1.0,1.0,0.8,0.8,1.0,1.0,0.9,0.9,0.9,0.9,0.9,1.0,0.7,F,1.1,1.1,0.8,0.8,0.7,0.7,1.0,0.7,0.8,0.9,2.8,2.8,2.9,1.0,1.0,1.1
MOD15A2H.A2023273.h30v12.006.2023282035924.Lai_500m,MOD15A2H,A2023273,Lat-33.6152Lon150.7236Samp17Line17,2023282035924,6.0,6.0,6.0,1.4,1.5,1.4,0.8,1.1,1.6,1.2,1.1,1.1,1.1,1.0,1.0,0.7,0.6,5.5,5.8,1.4,1.4,1.5,1.6,1.1,1.6,1.1,1.5,1.1,1.0,1.0,0.8,0.6,0.6,F,5.6,5.6,1.4,1.2,1.1,1.1,1.1,1.1,1.1,1.1,1.4,1.4,0.6,0.6,1.0,F,2.2,5.7,1.4,2.2,1.3,1.3,1.1,1.1,1.1,1.1,1.1,1.0,1.1,0.9,1.0,1.2,0.7,0.8,1.4,1.3,1.3,1.0,1.0,1.0,1.0,1.1,1.1,0.7,0.8,1.0,0.9,1.0,1.2,0.8,F,1.5,1.3,1.0,1.0,1.0,1.2,0.7,0.8,1.2,1.0,0.8,0.8,0.7,0.8,F,F,F,1.2,0.9,1.0,1.0,1.2,0.8,3.0,1.1,0.9,0.8,0.8,0.7,0.9,0.8,0.8,F,F,0.7,0.7,1.2,0.7,0.9,1.0,F,F,0.8,1.0,1.0,0.8,0.7,0.6,F,F,0.6,1.3,1.0,1.0,1.0,F,1.3,1.2,1.0,1.0,1.0,0.8,0.9,0.7,0.7,0.7,1.1,1.7,1.0,1.0,0.7,F,1.3,0.8,1.0,0.9,0.9,1.0,0.9,0.7,0.9,0.6,0.7,1.0,0.7,1.0,F,F,0.8,1.0,0.9,0.8,0.9,0.9,0.9,0.8,0.7,0.8,0.7,0.6,0.9,1.1,F,0.7,F,0.8,0.7,0.7,0.7,0.7,0.8,0.8,1.2,0.9,0.9,0.9,F,0.9,F,0.7,0.8,F,F,F,0.7,0.9,1.1,1.4,0.7,0.9,0.8,0.8,1.0,F,F,F,0.7,0.7,0.7,0.7,0.8,0.8,0.7,0.7,1.0,0.8,0.8,0.7,F,F,F,F,F,0.8,0.7,0.7,0.7,0.9,0.8,0.8,0.8,0.8,0.9,0.9,F,1.1,F,F,0.8,0.8,F,1.5,0.7,1.0,0.8,0.9,0.7,0.9,1.1,1.0,1.1,1.1,0.9,0.8,0.8,0.8,1.0,F,0.8,1.0,0.7,0.7,0.8,0.8,1.0,0.9,0.9,1.1,3.9,3.9,3.2,1.2,1.3,1.0
MOD15A2H.A2023281.h30v12.006.2023290182450.Lai_500m,MOD15A2H,A2023281,Lat-33.6152Lon150.7236Samp17Line17,2023290182450,5.0,5.4,5.6,1.6,1.8,1.9,1.0,1.3,1.6,1.6,1.5,1.6,1.5,1.4,1.0,0.8,0.7,5.4,5.2,2.0,1.4,1.6,1.7,1.5,1.5,1.6,1.4,1.4,1.3,1.3,0.7,0.5,0.7,F,5.2,5.2,1.7,1.7,1.5,1.6,1.4,1.4,1.3,1.3,1.6,1.6,0.6,0.7,1.3,F,1.7,5.0,1.9,1.6,1.6,1.6,1.4,1.4,1.3,1.5,1.6,1.3,1.6,1.5,1.5,1.5,1.0,1.1,1.7,1.5,1.6,1.1,1.1,1.5,1.5,1.5,1.6,1.0,0.9,1.5,1.2,1.3,1.4,1.2,F,1.6,1.4,1.1,1.1,1.4,1.4,1.0,1.0,0.9,1.6,0.9,1.0,0.8,1.0,F,F,F,1.6,1.0,1.1,1.5,1.6,1.0,1.9,1.8,1.0,0.9,0.9,0.8,1.0,0.9,0.9,F,F,1.0,0.9,1.5,1.0,1.4,1.8,F,F,0.9,1.4,1.4,1.0,0.9,0.7,F,F,0.8,1.6,1.6,1.8,1.8,F,1.1,1.1,1.3,1.2,1.5,0.9,1.0,1.0,0.7,0.8,1.0,1.5,1.4,1.4,1.0,F,0.8,0.8,1.1,1.2,1.5,1.5,1.1,1.0,0.7,0.6,0.8,1.3,1.0,1.2,F,F,0.7,1.1,1.1,0.9,1.2,1.3,1.2,0.8,0.7,0.8,0.9,0.7,0.8,1.1,F,0.7,F,1.1,0.8,0.8,0.7,0.7,1.1,0.7,1.1,1.4,1.4,1.0,F,1.1,F,0.7,1.0,F,F,F,0.8,0.8,0.8,1.0,0.8,1.4,1.2,0.7,1.0,F,F,F,0.6,0.6,0.6,0.7,0.7,0.8,0.8,0.7,1.1,1.1,1.1,0.9,F,F,F,F,F,1.0,1.1,0.7,0.7,1.1,1.2,0.9,0.8,1.1,0.9,1.1,F,1.0,F,F,0.9,0.9,F,0.7,0.7,1.3,1.2,1.1,0.8,0.9,1.2,1.2,1.1,1.1,1.1,1.1,1.2,1.0,1.2,F,1.3,1.3,0.8,0.9,0.8,0.9,1.1,0.7,0.8,1.2,3.3,3.3,4.1,1.2,1.2,1.2
MOD15A2H.A2023289.h30v12.006.2023299020116.Lai_500m,MOD15A2H,A2023289,Lat-33.6152Lon150.7236Samp17Line17,2023299020116,5.1,5.4,5.4,1.6,1.6,1.6,0.8,1.1,1.3,1.3,1.3,1.2,1.2,1.1,0.8,0.7,0.5,5.2,5.4,1.6,1.4,1.4,1.4,1.3,1.3,1.3,1.2,1.2,1.1,1.1,0.6,0.5,0.6,F,5.3,2.9,1.4,1.4,1.4,1.3,1.2,1.1,1.1,1.2,1.2,1.1,0.6,0.5,1.1,F,1.4,4.8,1.6,1.3,1.4,1.3,1.2,1.2,1.2,1.3,1.3,1.1,1.1,1.2,1.4,1.6,1.0,0.9,1.4,1.3,1.4,1.0,0.9,1.3,1.1,1.3,1.3,0.8,0.8,1.2,1.1,1.3,1.0,1.0,F,1.3,1.2,1.0,0.9,1.3,1.1,0.8,0.9,0.9,1.5,0.8,0.9,1.0,0.8,F,F,F,1.3,0.9,0.9,1.2,1.2,1.0,1.6,1.3,0.9,0.9,0.8,0.7,0.7,0.8,0.8,F,F,0.7,0.7,1.4,0.9,1.1,1.6,F,F,0.7,1.2,1.1,0.8,0.7,0.7,F,F,0.7,1.2,1.1,1.3,1.3,F,0.9,1.0,1.0,1.1,1.1,0.7,0.7,0.8,0.7,0.7,0.8,1.0,1.1,1.3,1.0,F,0.8,0.8,1.0,1.1,1.1,1.4,1.0,0.7,0.6,0.6,0.7,1.0,0.7,1.1,F,F,0.7,0.9,1.0,0.7,1.0,1.0,1.0,0.7,0.7,0.7,0.7,0.6,1.0,1.1,F,0.7,F,1.0,0.7,0.7,0.7,0.7,0.9,0.7,0.9,1.0,1.1,1.0,F,1.0,F,0.7,1.0,F,F,F,0.7,0.7,0.7,0.9,0.7,0.9,1.1,0.7,0.9,F,F,F,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.9,0.9,0.9,0.7,F,F,F,F,F,0.8,0.8,0.7,0.7,1.0,1.1,0.7,0.7,1.0,0.9,1.1,F,0.9,F,F,0.9,0.9,F,0.7,0.8,1.0,1.1,1.0,0.7,0.7,1.1,1.1,1.0,1.0,1.0,1.1,1.1,0.9,0.9,F,1.0,0.9,0.8,0.7,0.7,0.8,1.1,0.7,0.8,1.1,2.8,2.8,2.1,1.1,1.1,1.2
MOD15A2H.A2023297.h30v12.006.2023306035442.Lai_500m,MOD15A2H,A2023297,Lat-33.6152Lon150.7236Samp17Line17,2023306035442,3.9,4.6,4.6,1.1,1.7,1.6,0.6,0.9,1.4,1.4,1.0,1.5,1.5,1.2,0.7,0.7,0.4,4.0,4.0,1.7,1.2,1.6,1.4,1.5,1.4,1.3,1.3,0.9,1.3,0.7,0.5,0.5,0.6,F,4.0,2.9,1.6,1.4,1.3,1.4,1.3,1.3,1.2,0.9,1.4,1.4,0.5,0.7,1.1,F,1.6,3.6,1.5,1.6,1.5,1.0,1.3,1.3,1.3,1.5,1.5,1.1,1.4,0.9,1.0,1.0,1.1,1.0,1.6,1.6,1.4,0.7,0.7,1.4,1.4,1.3,1.4,0.6,0.6,1.3,1.1,1.4,1.4,0.9,F,1.5,1.4,0.7,0.7,1.2,0.9,0.6,1.0,0.6,1.6,0.8,0.9,0.7,0.7,F,F,F,1.3,0.7,0.7,1.4,1.8,1.0,1.9,1.8,1.2,1.0,0.6,0.6,0.7,0.7,0.8,F,F,0.6,0.6,1.6,1.0,1.4,1.0,F,F,0.6,1.3,1.3,0.6,0.7,0.5,F,F,0.5,1.3,1.6,1.9,1.0,F,0.7,1.1,1.1,1.3,1.2,0.7,0.7,0.6,0.6,0.6,0.8,0.9,0.9,1.0,1.0,F,0.7,0.7,1.1,0.8,1.4,1.5,0.7,0.5,0.5,0.5,0.5,0.8,0.9,1.1,F,F,0.7,0.7,0.7,0.7,1.0,1.1,1.1,0.5,0.6,0.5,0.7,0.7,0.6,0.7,F,0.5,F,1.0,0.5,0.6,0.5,0.5,1.0,0.7,1.1,0.7,1.1,0.7,F,1.0,F,0.5,1.0,F,F,F,0.7,0.5,0.7,0.7,0.7,1.0,1.1,0.5,0.6,F,F,F,0.6,0.5,0.4,0.5,0.7,0.7,0.5,0.5,0.7,1.0,1.0,0.5,F,F,F,F,F,1.0,0.6,0.5,0.7,1.0,1.1,0.8,0.7,1.1,0.7,1.1,F,0.9,F,F,0.9,0.8,F,0.5,0.6,1.2,1.2,1.1,0.6,0.7,1.2,1.1,1.1,1.0,0.8,1.1,0.8,1.0,1.0,F,1.2,1.1,0.7,0.6,0.6,0.8,1.1,0.5,0.6,1.0,2.8,2.8,2.8,0.7,0.7,1.3
