MOD15A2H.A2000049.h30v12.006.2020041210828.Fpar_500m,MOD15A2H,A2000049,Lat-33.6152Lon150.7236Samp17Line17,2020041210828,F,F,F,F,F,F,F,F,F,F,F,F,F,0.13,0.15,0.15,0.25,F,F,F,F,F,F,F,F,F,F,F,F,0.13,0.15,F,F,F,F,F,F,F,F,F,F,F,0.06,0.06,0.15,0.13,0.13,F,F,F,0.36,F,F,F,F,F,F,F,0.06,0.15,0.23,0.17,0.25,F,0.2,0.36,0.24,0.24,F,F,F,F,F,F,F,F,F,F,0.25,F,0.15,0.29,0.29,0.31,F,F,F,F,F,F,F,0.08,F,F,F,0.25,0.25,0.25,0.29,F,F,F,F,F,F,F,F,F,F,F,0.25,0.25,0.25,0.37,0.42,0.42,0.28,F,F,F,F,F,F,F,F,F,F,0.25,0.35,0.44,0.42,F,F,F,F,F,F,F,F,F,F,0.22,0.23,0.35,0.35,0.35,F,F,F,F,F,F,F,F,F,F,F,0.22,0.22,0.35,0.35,0.35,F,F,0.4,0.4,0.36,F,F,F,F,F,F,0.21,0.35,0.35,0.34,F,F,F,0.47,0.4,F,F,0.38,0.47,0.47,F,0.21,F,0.25,0.28,0.28,F,F,0.44,0.47,0.44,0.31,0.31,F,F,0.47,F,0.22,0.25,F,F,F,0.28,0.29,0.29,0.32,0.35,0.31,0.31,F,F,F,F,F,0.22,0.23,F,F,0.29,0.29,0.29,F,F,F,F,F,F,F,F,F,F,F,F,F,0.29,0.25,0.25,0.39,F,F,F,F,F,0.13,F,F,0.28,0.28,F,0.45,0.45,0.25,0.36,0.36,0.39,F,F,F,0.13,0.13,0.25,0.25,0.25,F,F,F,0.45,0.58,0.59,0.59,F,F,F,F,F,F,F,F,F,F,F,F
MOD15A2H.A2000137.h30v12.006.2020042225448.Fpar_500m,MOD15A2H,A2000137,Lat-33.6152Lon150.7236Samp17Line17,2020042225448,F,F,0.9,0.9,0.74,0.71,0.6,0.71,0.72,0.72,0.7,0.71,0.7,0.73,0.74,0.75,0.76,F,F,0.76,0.74,0.72,0.72,0.76,0.76,0.72,0.7,0.67,0.79,0.86,0.84,0.76,0.76,F,F,0.88,0.73,0.73,0.73,0.76,0.76,0.74,0.75,0.75,0.67,0.86,0.75,0.69,0.82,F,0.62,F,0.69,0.69,0.73,0.72,0.74,0.74,0.72,0.67,0.7,0.72,0.75,0.66,0.6,0.62,0.62,0.6,0.69,0.67,0.7,0.69,0.69,0.7,0.68,0.68,0.74,0.63,0.63,0.66,0.59,0.57,0.58,0.57,F,0.67,0.67,0.69,0.66,0.7,0.72,0.66,0.65,0.65,0.71,0.6,0.62,0.55,0.64,F,F,F,0.72,0.74,0.74,0.69,0.73,0.65,0.77,0.71,0.61,0.57,0.58,0.59,0.64,0.66,0.61,F,F,0.68,0.66,0.77,0.63,0.66,0.68,F,F,0.56,0.72,0.65,0.66,0.72,0.6,F,F,0.58,0.77,0.67,0.67,0.62,F,0.6,0.62,0.67,0.58,0.62,0.69,0.67,0.74,0.69,0.73,0.68,0.68,0.59,0.63,0.6,F,0.6,0.53,0.65,0.6,0.64,0.7,0.76,0.73,0.73,0.65,0.8,0.82,0.74,0.68,F,F,0.49,0.53,0.65,0.55,0.64,0.67,0.72,0.62,0.68,0.78,0.71,0.69,0.59,0.67,F,0.4,F,0.51,0.54,0.5,0.55,0.55,0.7,0.69,0.64,0.69,0.66,0.56,F,0.61,F,0.4,0.4,F,F,F,0.6,0.6,0.64,0.76,0.56,0.64,0.67,0.56,0.56,F,F,F,0.4,0.42,0.49,0.58,0.56,0.6,0.73,0.71,0.7,0.69,0.73,0.49,F,F,F,F,F,0.5,0.5,0.58,0.58,0.73,0.72,0.63,0.63,0.69,0.67,0.76,F,0.55,F,F,0.52,0.48,F,0.52,0.54,0.7,0.78,0.76,0.63,0.66,0.73,0.65,0.52,0.5,0.5,0.5,0.51,0.51,0.63,F,0.62,0.71,0.73,0.68,0.63,0.63,0.69,0.58,0.49,0.5,0.81,0.81,0.3,0.59,0.69,0.76
MOD15A2H.A2000145.h30v12.006.2020043014828.Fpar_500m,MOD15A2H,A2000145,Lat-33.6152Lon150.7236Samp17Line17,2020043014828,0.9,0.9,0.9,0.9,0.79,0.74,0.62,0.74,0.73,0.77,0.77,0.77,0.76,0.72,0.81,0.81,0.6,F,0.9,0.82,0.79,0.73,0.75,0.77,0.79,0.69,0.62,0.6,0.73,0.72,0.81,0.81,0.69,F,F,0.86,0.75,0.73,0.77,0.78,0.78,0.78,0.62,0.6,0.73,0.72,0.61,0.7,0.68,F,0.68,0.86,0.78,0.73,0.73,0.74,0.75,0.62,0.6,0.68,0.68,0.72,0.72,0.8,0.67,0.6,0.44,0.57,0.73,0.68,0.74,0.71,0.71,0.68,0.69,0.69,0.69,0.58,0.57,0.69,0.56,0.56,0.56,0.59,F,0.71,0.74,0.71,0.65,0.52,0.68,0.62,0.62,0.58,0.69,0.57,0.57,0.57,0.67,F,F,F,0.75,0.73,0.63,0.68,0.68,0.61,0.74,0.67,0.57,0.57,0.57,0.57,0.67,0.67,0.69,F,F,0.65,0.7,0.73,0.56,0.66,0.61,F,F,0.56,0.62,0.64,0.61,0.66,0.58,F,F,0.57,0.82,0.73,0.67,0.71,F,0.59,0.6,0.6,0.63,0.57,0.67,0.67,0.67,0.68,0.65,0.68,0.69,0.6,0.58,0.6,F,0.54,0.5,0.54,0.61,0.6,0.62,0.67,0.67,0.68,0.61,0.76,0.76,0.69,0.76,F,F,0.41,0.4,0.57,0.55,0.62,0.65,0.63,0.61,0.63,0.7,0.74,0.63,0.65,0.67,F,0.3,F,0.47,0.53,0.53,0.5,0.54,0.6,0.47,0.5,0.52,0.77,0.73,F,0.75,F,0.38,0.42,F,F,F,0.55,0.55,0.54,0.52,0.51,0.53,0.52,0.39,0.48,F,F,F,0.33,0.42,0.45,0.56,0.57,0.55,0.55,0.56,0.58,0.6,0.53,0.52,F,F,F,F,F,0.53,0.53,0.54,0.48,0.6,0.6,0.53,0.53,0.62,0.52,0.56,F,0.38,F,F,0.48,0.54,F,0.56,0.5,0.6,0.57,0.59,0.53,0.52,0.53,0.53,0.47,0.41,0.41,0.46,0.48,0.57,0.67,F,0.53,0.6,0.52,0.52,0.52,0.62,0.49,0.49,0.4,0.41,F,F,0.86,0.6,0.74,0.68
MOD15A2H.A2000153.h30v12.006.2020045220244.Fpar_500m,MOD15A2H,A2000153,Lat-33.6152Lon150.7236Samp17Line17,2020045220244,0.76,F,0.9,0.9,0.79,0.73,0.6,0.68,0.72,0.74,0.75,0.74,0.7,0.73,0.67,0.63,0.69,F,0.9,0.78,0.79,0.73,0.71,0.77,0.78,0.75,0.75,0.71,0.68,0.86,0.91,0.76,0.7,F,0.68,0.88,0.71,0.73,0.76,0.76,0.79,0.75,0.75,0.7,0.68,0.7,0.66,0.76,0.83,F,0.59,0.85,0.77,0.73,0.71,0.74,0.79,0.75,0.75,0.68,0.75,0.64,0.76,0.79,0.56,0.54,0.44,0.57,0.74,0.69,0.71,0.68,0.67,0.72,0.72,0.72,0.75,0.56,0.61,0.63,0.53,0.43,0.63,0.57,F,0.71,0.71,0.68,0.64,0.71,0.74,0.62,0.67,0.59,0.7,0.56,0.65,0.52,0.62,F,F,F,0.65,0.68,0.71,0.71,0.76,0.62,0.8,0.74,0.57,0.59,0.61,0.56,0.69,0.73,0.67,F,F,0.63,0.68,0.72,0.57,0.63,0.64,F,F,0.56,0.68,0.67,0.61,0.62,0.52,F,F,0.6,0.76,0.65,0.48,0.69,F,0.63,0.62,0.61,0.53,0.68,0.74,0.68,0.63,0.59,0.72,0.68,0.65,0.62,0.58,0.56,F,0.55,0.55,0.62,0.53,0.57,0.67,0.63,0.69,0.63,0.64,0.73,0.81,0.57,0.67,F,F,0.31,0.47,0.62,0.58,0.66,0.67,0.68,0.56,0.63,0.69,0.79,0.69,0.66,0.63,F,0.41,F,0.52,0.55,0.55,0.52,0.53,0.61,0.51,0.56,0.62,0.62,0.69,F,0.6,F,0.31,0.49,F,F,F,0.56,0.53,0.55,0.6,0.52,0.6,0.58,0.48,0.51,F,F,F,0.39,0.42,0.4,0.47,0.56,0.56,0.58,0.65,0.63,0.62,0.6,0.56,F,F,F,F,F,0.51,0.56,0.48,0.51,0.63,0.62,0.55,0.55,0.67,0.63,0.69,F,0.53,F,F,0.45,0.43,F,0.48,0.49,0.68,0.66,0.62,0.55,0.58,0.67,0.64,0.51,0.51,0.51,0.63,0.45,0.49,0.53,F,0.65,0.68,0.56,0.56,0.55,0.58,0.61,0.55,0.44,0.53,0.81,0.77,0.78,0.59,0.59,0.77
MOD15A2H.A2000161.h30v12.006.2020046020642.Fpar_500m,MOD15A2H,A2000161,Lat-33.6152Lon150.7236Samp17Line17,2020046020642,0.89,0.89,0.88,0.89,0.65,0.61,0.53,0.59,0.62,0.62,0.62,0.62,0.61,0.6,0.58,0.62,0.49,0.89,0.89,0.78,0.62,0.62,0.62,0.62,0.64,0.64,0.59,0.56,0.59,0.63,0.73,0.62,0.62,F,0.86,0.88,0.62,0.62,0.62,0.63,0.66,0.66,0.61,0.6,0.59,0.68,0.62,0.61,0.61,F,0.55,0.86,0.62,0.63,0.62,0.62,0.69,0.63,0.61,0.59,0.59,0.55,0.61,0.55,0.48,0.55,0.45,0.46,0.6,0.6,0.59,0.58,0.64,0.6,0.58,0.58,0.56,0.45,0.45,0.55,0.47,0.42,0.42,0.46,F,0.58,0.61,0.69,0.57,0.61,0.61,0.5,0.5,0.46,0.53,0.48,0.46,0.43,0.49,F,F,F,0.59,0.57,0.56,0.58,0.58,0.54,0.57,0.53,0.46,0.5,0.49,0.46,0.48,0.47,0.45,F,F,0.53,0.45,0.55,0.46,0.51,0.5,F,F,0.45,0.52,0.52,0.56,0.47,0.47,F,F,0.46,0.64,0.52,0.53,0.5,F,0.49,0.51,0.53,0.49,0.52,0.56,0.49,0.48,0.47,0.49,0.5,0.57,0.45,0.53,0.45,F,0.49,0.46,0.5,0.47,0.54,0.54,0.56,0.47,0.49,0.47,0.57,0.57,0.47,0.5,F,F,0.42,0.39,0.51,0.48,0.52,0.54,0.6,0.47,0.47,0.53,0.53,0.5,0.56,0.51,F,0.41,F,0.45,0.41,0.47,0.47,0.46,0.46,0.47,0.48,0.53,0.57,0.57,F,0.51,F,0.36,0.38,F,F,F,0.46,0.45,0.46,0.45,0.47,0.49,0.49,0.46,0.45,F,F,F,0.33,0.39,0.41,0.43,0.45,0.46,0.46,0.5,0.5,0.5,0.54,0.46,F,F,F,F,F,0.47,0.46,0.43,0.43,0.51,0.54,0.49,0.5,0.5,0.51,0.54,F,0.49,F,F,0.38,0.45,F,0.43,0.46,0.52,0.54,0.54,0.53,0.51,0.54,0.49,0.49,0.49,0.51,0.51,0.52,0.46,0.49,F,0.53,0.55,0.53,0.53,0.53,0.53,0.48,0.46,0.46,0.51,0.83,0.83,0.85,0.52,0.52,0.57
MOD15A2H.A2000169.h30v12.006.2020047235920.Fpar_500m,MOD15A2H,A2000169,Lat-33.6152Lon150.7236Samp17Line17,2020047235920,0.82,F,0.84,0.84,0.62,0.61,0.46,0.61,0.61,0.61,0.62,0.66,0.61,0.57,0.68,0.55,0.58,F,0.87,0.69,0.69,0.61,0.61,0.62,0.62,0.62,0.62,0.66,0.69,0.63,0.76,0.67,0.6,F,0.16,0.83,0.65,0.61,0.63,0.67,0.67,0.67,0.66,0.66,0.64,0.67,0.64,0.67,0.63,F,0.54,0.67,0.63,0.65,0.61,0.61,0.66,0.66,0.62,0.62,0.64,0.59,0.62,0.63,0.48,0.43,0.45,0.51,0.58,0.63,0.61,0.55,0.55,0.6,0.6,0.62,0.62,0.48,0.45,0.49,0.43,0.43,0.43,0.47,F,0.6,0.6,0.55,0.53,0.6,0.62,0.53,0.53,0.48,0.63,0.56,0.48,0.46,0.48,F,F,F,0.6,0.59,0.53,0.55,0.58,0.46,0.56,0.56,0.45,0.51,0.46,0.45,0.43,0.46,0.45,F,F,0.54,0.51,0.62,0.44,0.56,0.53,F,F,0.44,0.51,0.5,0.43,0.43,0.36,F,F,0.46,0.62,0.52,0.56,0.54,F,0.5,0.54,0.52,0.51,0.5,0.56,0.47,0.47,0.48,0.48,0.48,0.56,0.44,0.44,0.45,F,0.48,0.54,0.53,0.51,0.53,0.53,0.53,0.47,0.48,0.47,0.54,0.48,0.46,0.49,F,F,0.41,0.4,0.53,0.49,0.53,0.53,0.57,0.48,0.48,0.55,0.55,0.47,0.5,0.52,F,0.41,F,0.49,0.5,0.47,0.47,0.47,0.46,0.46,0.46,0.57,0.62,0.62,F,0.51,F,0.4,0.42,F,F,F,0.45,0.45,0.48,0.52,0.51,0.56,0.52,0.4,0.42,F,F,F,0.4,0.36,0.34,0.43,0.46,0.46,0.48,0.52,0.52,0.53,0.55,0.49,F,F,F,F,F,0.51,0.49,0.43,0.46,0.53,0.53,0.48,0.5,0.59,0.52,0.54,F,0.44,F,F,0.39,0.39,F,0.46,0.44,0.58,0.57,0.56,0.5,0.52,0.57,0.57,0.47,0.44,0.4,0.4,0.39,0.46,0.46,F,0.54,0.58,0.53,0.5,0.51,0.51,0.55,0.4,0.41,0.44,0.82,0.82,F,0.51,0.55,0.59
MOD15A2H.A2000177.h30v12.006.2020048052454.Fpar_500m,MOD15A2H,A2000177,Lat-33.6152Lon150.7236Samp17Line17,2020048052454,F,0.9,0.88,0.86,0.7,0.61,0.52,0.61,0.64,0.65,0.65,0.65,0.64,0.65,0.64,0.64,0.56,F,0.87,0.77,0.74,0.63,0.62,0.65,0.65,0.66,0.62,0.61,0.65,0.82,0.79,0.7,0.7,F,0.77,0.82,0.68,0.68,0.68,0.65,0.69,0.7,0.66,0.61,0.6,0.77,0.68,0.65,0.76,F,0.61,F,0.68,0.68,0.68,0.64,0.68,0.67,0.63,0.6,0.62,0.51,0.61,0.62,0.43,0.4,0.44,0.53,0.67,0.62,0.63,0.56,0.55,0.62,0.63,0.61,0.6,0.44,0.44,0.51,0.44,0.37,0.44,0.49,F,0.63,0.64,0.54,0.56,0.62,0.63,0.45,0.45,0.44,0.57,0.54,0.57,0.29,0.54,F,F,F,0.65,0.59,0.57,0.61,0.64,0.53,0.63,0.44,0.32,0.54,0.57,0.45,0.43,0.47,0.46,F,F,0.56,0.56,0.59,0.44,0.47,0.4,F,F,0.45,0.57,0.55,0.51,0.47,0.45,F,F,0.45,0.68,0.56,0.53,0.52,F,0.43,0.52,0.53,0.5,0.53,0.5,0.47,0.44,0.48,0.5,0.6,0.6,0.54,0.54,0.45,F,0.46,0.4,0.53,0.54,0.56,0.59,0.47,0.47,0.48,0.5,0.57,0.63,0.62,0.48,F,F,0.32,0.38,0.49,0.5,0.53,0.59,0.53,0.4,0.41,0.48,0.57,0.45,0.5,0.53,F,0.26,F,0.49,0.48,0.48,0.48,0.44,0.51,0.39,0.54,0.54,0.56,0.57,F,0.5,F,0.28,0.39,F,F,F,0.44,0.45,0.44,0.53,0.47,0.54,0.49,0.45,0.43,F,F,F,0.34,0.43,0.4,0.47,0.47,0.47,0.48,0.54,0.53,0.54,0.58,0.54,F,F,F,F,F,0.49,0.47,0.47,0.47,0.54,0.55,0.56,0.57,0.6,0.54,0.61,F,0.42,F,F,0.43,0.38,F,0.47,0.47,0.61,0.6,0.56,0.57,0.57,0.59,0.56,0.46,0.41,0.46,0.41,0.38,0.42,0.5,F,0.61,0.61,0.57,0.56,0.56,0.57,0.54,0.52,0.49,0.53,0.8,0.8,F,0.52,0.55,0.61
MOD15A2H.A2000185.h30v12.006.2020048082503.Fpar_500m,MOD15A2H,A2000185,Lat-33.6152Lon150.7236Samp17Line17,2020048082503,0.83,0.9,0.9,0.86,0.67,0.62,0.44,0.5,0.6,0.65,0.63,0.62,0.58,0.72,0.63,0.63,0.56,0.81,0.9,0.74,0.68,0.61,0.56,0.64,0.71,0.67,0.62,0.6,0.59,0.8,0.83,0.69,0.62,F,0.83,0.83,0.66,0.6,0.55,0.64,0.71,0.67,0.66,0.59,0.61,0.8,0.76,0.68,0.62,F,0.56,0.81,0.63,0.59,0.63,0.65,0.65,0.62,0.62,0.59,0.61,0.52,0.59,0.56,0.42,0.38,0.32,0.55,0.63,0.59,0.63,0.57,0.55,0.62,0.65,0.62,0.55,0.44,0.34,0.57,0.41,0.35,0.41,0.5,F,0.61,0.66,0.52,0.55,0.62,0.65,0.51,0.49,0.44,0.46,0.5,0.44,0.44,0.53,F,F,F,0.62,0.58,0.56,0.62,0.63,0.44,0.45,0.38,0.3,0.5,0.57,0.44,0.47,0.46,0.43,F,F,0.53,0.49,0.6,0.43,0.36,0.41,F,F,0.45,0.55,0.53,0.46,0.47,0.39,F,F,0.45,0.6,0.6,0.48,0.36,F,0.39,0.53,0.47,0.42,0.51,0.46,0.47,0.4,0.4,0.47,0.56,0.7,0.36,0.41,0.44,F,0.44,0.41,0.52,0.52,0.52,0.54,0.46,0.48,0.48,0.57,0.55,0.7,0.59,0.45,F,F,0.3,0.42,0.5,0.44,0.52,0.59,0.55,0.4,0.46,0.46,0.55,0.45,0.46,0.5,F,0.26,F,0.49,0.39,0.44,0.39,0.36,0.47,0.43,0.47,0.54,0.57,0.6,F,0.5,F,0.26,0.33,F,F,F,0.38,0.41,0.47,0.53,0.43,0.51,0.51,0.4,0.44,F,F,F,0.26,0.27,0.25,0.38,0.43,0.43,0.51,0.53,0.52,0.53,0.57,0.47,F,F,F,F,F,0.39,0.46,0.39,0.43,0.59,0.53,0.51,0.51,0.59,0.53,0.57,F,0.43,F,F,0.42,0.41,F,0.41,0.51,0.59,0.62,0.57,0.53,0.53,0.59,0.56,0.5,0.47,0.47,0.5,0.42,0.45,0.45,F,0.55,0.57,0.54,0.53,0.51,0.51,0.59,0.45,0.45,0.47,0.74,0.14,0.71,0.56,0.55,0.62
MOD15A2H.A2000193.h30v12.006.2020051203821.Fpar_500m,MOD15A2H,A2000193,Lat-33.6152Lon150.7236Samp17Line17,2020051203821,0.84,0.9,0.9,0.85,0.68,0.6,0.44,0.57,0.65,0.64,0.62,0.61,0.62,0.61,0.57,0.57,0.51,F,0.85,0.72,0.68,0.6,0.62,0.62,0.63,0.65,0.61,0.6,0.6,0.63,0.88,0.74,0.7,F,F,F,0.68,0.62,0.64,0.65,0.68,0.66,0.61,0.61,0.59,0.69,0.56,0.56,0.73,F,0.51,F,0.68,0.67,0.62,0.61,0.68,0.66,0.62,0.6,0.61,0.52,0.62,0.62,0.45,0.45,0.45,0.56,0.63,0.61,0.62,0.56,0.55,0.6,0.61,0.61,0.61,0.44,0.43,0.48,0.41,0.35,0.45,0.52,F,0.62,0.62,0.55,0.55,0.6,0.61,0.54,0.46,0.45,0.53,0.44,0.55,0.36,0.45,F,F,F,0.61,0.55,0.57,0.53,0.61,0.54,0.62,0.42,0.44,0.45,0.55,0.4,0.37,0.45,0.46,F,F,0.56,0.6,0.61,0.44,0.41,0.42,F,F,0.45,0.56,0.51,0.47,0.46,0.39,F,F,0.45,0.67,0.53,0.39,0.52,F,0.44,0.53,0.52,0.49,0.54,0.56,0.46,0.41,0.43,0.46,0.53,0.61,0.49,0.54,0.45,F,0.45,0.47,0.53,0.53,0.53,0.56,0.49,0.54,0.47,0.5,0.57,0.61,0.57,0.48,F,F,0.26,0.43,0.53,0.45,0.56,0.58,0.54,0.47,0.48,0.57,0.54,0.46,0.51,0.54,F,0.26,F,0.51,0.41,0.45,0.45,0.49,0.51,0.46,0.54,0.54,0.6,0.55,F,0.49,F,0.26,0.4,F,F,F,0.45,0.44,0.46,0.53,0.51,0.54,0.53,0.41,0.43,F,F,F,0.32,0.43,0.41,0.41,0.47,0.47,0.47,0.53,0.53,0.52,0.58,0.54,F,F,F,F,F,0.49,0.49,0.47,0.47,0.54,0.6,0.55,0.48,0.61,0.52,0.6,F,0.43,F,F,0.43,0.42,F,0.47,0.47,0.61,0.6,0.6,0.57,0.57,0.6,0.56,0.49,0.43,0.42,0.42,0.42,0.54,0.49,F,0.55,0.61,0.56,0.56,0.54,0.57,0.56,0.47,0.47,0.53,0.79,0.74,0.8,0.54,0.54,0.62
MOD15A2H.A2000201.h30v12.006.2020048200244.Fpar_500m,MOD15A2H,A2000201,Lat-33.6152Lon150.7236Samp17Line17,2020048200244,F,0.9,0.89,0.86,0.65,0.61,0.45,0.56,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.61,F,0.86,0.68,0.65,0.61,0.6,0.6,0.67,0.62,0.61,0.59,0.62,0.82,0.82,0.73,0.61,F,0.86,0.86,0.66,0.62,0.65,0.62,0.67,0.64,0.62,0.57,0.57,0.56,0.79,0.66,0.64,F,0.57,0.83,0.66,0.65,0.61,0.62,0.64,0.62,0.61,0.59,0.61,0.47,0.58,0.53,0.4,0.43,0.45,0.57,0.64,0.61,0.61,0.56,0.53,0.54,0.61,0.61,0.61,0.45,0.44,0.54,0.42,0.37,0.47,0.5,F,0.61,0.62,0.49,0.48,0.61,0.63,0.49,0.48,0.44,0.49,0.54,0.5,0.37,0.47,F,F,F,0.59,0.53,0.55,0.54,0.63,0.51,0.48,0.45,0.44,0.45,0.5,0.45,0.38,0.46,0.43,F,F,0.54,0.57,0.54,0.45,0.47,0.43,F,F,0.45,0.56,0.49,0.46,0.47,0.37,F,F,0.48,0.7,0.55,0.5,0.44,F,0.45,0.53,0.54,0.5,0.52,0.48,0.48,0.43,0.48,0.46,0.59,0.74,0.36,0.54,0.42,F,0.45,0.44,0.52,0.52,0.54,0.59,0.48,0.48,0.48,0.5,0.58,0.43,0.6,0.45,F,F,0.27,0.46,0.53,0.46,0.54,0.59,0.53,0.46,0.46,0.55,0.54,0.44,0.45,0.49,F,0.26,F,0.42,0.46,0.46,0.41,0.4,0.49,0.41,0.51,0.53,0.58,0.62,F,0.52,F,0.28,0.4,F,F,F,0.45,0.4,0.45,0.52,0.42,0.52,0.52,0.41,0.4,F,F,F,0.32,0.33,0.39,0.37,0.45,0.46,0.46,0.52,0.53,0.52,0.54,0.46,F,F,F,F,F,0.41,0.49,0.41,0.46,0.6,0.58,0.48,0.5,0.57,0.55,0.57,F,0.44,F,F,0.43,0.4,F,0.44,0.48,0.6,0.6,0.56,0.47,0.5,0.59,0.57,0.53,0.42,0.46,0.46,0.43,0.46,0.46,F,0.56,0.57,0.48,0.48,0.48,0.48,0.59,0.46,0.44,0.48,0.8,0.74,0.75,0.49,0.54,0.58
MOD15A2H.A2000209.h30v12.006.2020048230806.Fpar_500m,MOD15A2H,A2000209,Lat-33.6152Lon150.7236Samp17Line17,2020048230806,0.84,0.85,0.83,0.83,0.63,0.58,0.44,0.55,0.61,0.61,0.61,0.61,0.61,0.63,0.58,0.59,0.58,0.79,0.83,0.69,0.63,0.58,0.58,0.61,0.63,0.59,0.61,0.6,0.62,0.69,0.92,0.76,0.62,F,0.77,0.82,0.61,0.62,0.61,0.61,0.61,0.59,0.62,0.64,0.63,0.65,0.79,0.48,0.77,F,0.45,0.81,0.65,0.64,0.61,0.6,0.61,0.6,0.6,0.64,0.66,0.56,0.61,0.61,0.43,0.43,0.4,0.53,0.61,0.59,0.6,0.5,0.53,0.57,0.64,0.62,0.66,0.51,0.4,0.44,0.41,0.35,0.51,0.5,F,0.59,0.6,0.48,0.47,0.61,0.64,0.53,0.54,0.45,0.53,0.5,0.54,0.35,0.48,F,F,F,0.59,0.51,0.54,0.61,0.65,0.54,0.57,0.37,0.29,0.5,0.44,0.41,0.41,0.47,0.45,F,F,0.5,0.57,0.57,0.45,0.54,0.45,F,F,0.45,0.61,0.58,0.46,0.48,0.37,F,F,0.51,0.68,0.61,0.55,0.44,F,0.45,0.54,0.54,0.52,0.53,0.56,0.48,0.45,0.48,0.48,0.53,0.76,0.46,0.54,0.45,F,0.45,0.44,0.55,0.54,0.53,0.54,0.48,0.55,0.48,0.53,0.53,0.55,0.46,0.47,F,F,0.31,0.4,0.55,0.46,0.56,0.56,0.54,0.55,0.48,0.48,0.52,0.47,0.47,0.54,F,0.26,F,0.45,0.41,0.48,0.42,0.4,0.49,0.45,0.44,0.5,0.49,0.44,F,0.54,F,0.26,0.3,F,F,F,0.38,0.38,0.39,0.44,0.42,0.52,0.45,0.36,0.4,F,F,F,0.34,0.28,0.34,0.35,0.4,0.4,0.45,0.52,0.53,0.47,0.55,0.4,F,F,F,F,F,0.44,0.46,0.35,0.4,0.52,0.51,0.44,0.45,0.6,0.46,0.61,F,0.43,F,F,0.4,0.42,F,0.4,0.42,0.6,0.53,0.52,0.41,0.48,0.56,0.53,0.44,0.43,0.46,0.46,0.43,0.52,0.54,F,0.52,0.54,0.46,0.41,0.41,0.46,0.54,0.39,0.38,0.48,0.72,0.75,0.79,0.54,0.54,0.54
MOD15A2H.A2000217.h30v12.006.2020049000514.Fpar_500m,MOD15A2H,A2000217,Lat-33.6152Lon150.7236Samp17Line17,2020049000514,F,F,F,0.81,0.59,0.59,0.44,0.51,0.54,0.54,0.55,0.55,0.53,0.52,0.67,0.72,0.45,F,F,0.66,0.61,0.54,0.59,0.56,0.54,0.61,0.53,0.53,0.51,0.75,0.67,0.62,0.68,F,F,0.81,0.61,0.54,0.59,0.56,0.59,0.57,0.56,0.53,0.51,0.75,0.66,0.56,0.48,F,0.54,0.81,0.61,0.6,0.56,0.55,0.54,0.54,0.53,0.53,0.54,0.44,0.53,0.53,0.33,0.39,0.35,0.56,0.59,0.57,0.53,0.51,0.45,0.51,0.53,0.53,0.58,0.44,0.34,0.49,0.4,0.31,0.31,0.45,F,0.57,0.55,0.46,0.45,0.51,0.54,0.44,0.45,0.35,0.46,0.44,0.39,0.29,0.46,F,F,F,0.53,0.46,0.45,0.49,0.54,0.44,0.54,0.34,0.35,0.48,0.4,0.3,0.34,0.43,0.41,F,F,0.44,0.51,0.56,0.44,0.39,0.36,F,F,0.45,0.5,0.47,0.43,0.47,0.35,F,F,0.41,0.6,0.44,0.37,0.51,F,0.4,0.49,0.45,0.42,0.47,0.41,0.47,0.37,0.4,0.46,0.63,0.74,0.47,0.32,0.39,F,0.37,0.36,0.49,0.49,0.47,0.52,0.47,0.52,0.52,0.45,0.56,0.43,0.41,0.44,F,F,0.3,0.33,0.4,0.4,0.49,0.53,0.54,0.48,0.42,0.41,0.49,0.38,0.4,0.42,F,0.3,F,0.42,0.34,0.4,0.35,0.37,0.43,0.31,0.45,0.47,0.54,0.53,F,0.43,F,0.31,0.29,F,F,F,0.4,0.4,0.4,0.38,0.38,0.47,0.42,0.35,0.31,F,F,F,0.25,0.29,0.25,0.28,0.37,0.4,0.39,0.51,0.46,0.46,0.49,0.46,F,F,F,F,F,0.38,0.41,0.33,0.41,0.45,0.45,0.41,0.43,0.54,0.46,0.47,F,0.36,F,F,0.37,0.33,F,0.33,0.41,0.56,0.53,0.49,0.39,0.44,0.53,0.47,0.39,0.4,0.41,0.41,0.39,0.41,0.41,F,0.5,0.5,0.44,0.43,0.39,0.41,0.52,0.41,0.3,0.39,F,F,0.7,0.41,0.48,0.53
